time_years,pH,gems_code,rate_Qtz_mol_s,Ca/Si in CSH
134.0,13.094426880921407,2,2.1894462731236399e-10,1.604919787745656
135.0,13.09363112611917,2,2.18749994921637e-10,1.6049663725313832
136.0,13.092837687039744,2,2.185559658781698e-10,1.6050127323130818
137.0,13.092046551102534,2,2.1836253669568823e-10,1.6050588688070668
138.0,13.09125770954995,2,2.1816970380012826e-10,1.6051047829603502
139.0,13.09047114743364,2,2.1797746436451318e-10,1.6051504770375573
140.0,13.089686853214562,2,2.177858144711839e-10,1.6051959524900905
141.0,13.088904815468776,2,2.175947507986905e-10,1.6052412099411162
142.0,13.088125019625407,2,2.1740427005242184e-10,1.6052862516534554
143.0,13.08734745529596,2,2.1721436845582466e-10,1.6053310750679641
144.0,13.0865721059833,2,2.1702504289295235e-10,1.6053756726151276
145.0,13.085798978290066,2,2.1683628924788248e-10,1.6054200900611384
146.0,13.085028030898036,2,2.1664810744492233e-10,1.605464260186248
147.0,13.084259284781584,2,2.1646048902353467e-10,1.605508259793927
148.0,13.083492693181615,2,2.1627343640932271e-10,1.605552007776114
149.0,13.082728317262543,2,2.160869402996194e-10,1.6055956601642187
150.0,13.081966002232987,2,2.1590100995683668e-10,1.605638925202238
151.0,13.081205894628955,2,2.157156176862645e-10,1.6056821224106286
152.0,13.080447816617356,2,2.1553078729201737e-10,1.6057249306641648
153.0,13.079692089147173,2,2.1534648738613024e-10,1.6057679677873697
154.0,13.078938330620806,2,2.1516277088468137e-10,1.6058105465505108
155.0,13.077187842822482,2,2.1497957232215066e-10,1.604146092840499
156.0,13.073864186909404,2,2.146300742811798e-10,1.599805538533852
157.0,13.070548205632752,2,2.1401911797123924e-10,1.5954960584928153
158.0,13.067239485755051,2,2.1341129175303487e-10,1.5912173784857755
159.0,13.063937799018047,2,2.1280650988791535e-10,1.5869692276857108
160.0,13.060642952384006,2,2.1220471826143025e-10,1.5827513318740525
161.0,13.05735462198648,2,2.1160586911239466e-10,1.5785634349932807
162.0,13.05407260067836,2,2.1100989333031551e-10,1.5744052745456512
163.0,13.050796656340301,2,2.1041674191400395e-10,1.5702765960829037
164.0,13.047526570711465,2,2.0982636213523353e-10,1.5661771473984156
165.0,13.044262128770637,2,2.0923870407945997e-10,1.5621066809779085
166.0,13.04100312946818,2,2.0865371880546835e-10,1.5580649506608042
167.0,13.037749377011888,2,2.0807136013698441e-10,1.5540517144282373
168.0,13.034500677183159,2,2.0749158323539887e-10,1.5500667346664334
169.0,13.03125684762706,2,2.0691434376268603e-10,1.5461097753658881
170.0,13.028017721002419,2,2.0633959987840816e-10,1.5421806007522407
171.0,13.024783122594641,2,2.057673125474111e-10,1.538278981698092
172.0,13.021552895902694,2,2.0519744173570347e-10,1.5344046883189848
173.0,13.018326885469888,2,2.0462995087690712e-10,1.5305574947359921
174.0,13.015104945324,2,2.0406480389068537e-10,1.5267371764014612
175.0,13.011886934309953,2,2.035019664157816e-10,1.5229435111659535
176.0,13.00867271906635,2,2.0294140525858726e-10,1.519176278655677
177.0,13.005462172671164,2,2.023830886762804e-10,1.5154352606051256
178.0,13.002255173887251,2,2.0182698634110676e-10,1.511720240515171
179.0,12.999051607721421,2,2.012730689452154e-10,1.5080310036679039
180.0,12.995851366780705,2,2.0072130838768884e-10,1.504367337130887
181.0,12.992654349553886,2,2.0017167819620354e-10,1.500729029634739
182.0,12.989460459872896,2,1.9962415298226475e-10,1.497115871510478
183.0,12.98626960796171,2,1.9907870825678538e-10,1.4935276546961436
184.0,12.98308171123732,2,1.9853532075209488e-10,1.4899641727257054
185.0,12.979896692372536,2,1.9799396866112888e-10,1.4864252206241806
186.0,12.976714481463942,2,1.974546310237837e-10,1.4829105949559127
187.0,12.973535012240093,2,1.969172883921134e-10,1.4794200936626285
188.0,12.970358226756748,2,1.9638192162071627e-10,1.4759535162153596
189.0,12.96718407266337,2,1.9584851334497628e-10,1.4725106634837817
190.0,12.964012502810197,2,1.9531704709803286e-10,1.4690913377120849
191.0,12.960843477345495,2,1.9478750717922062e-10,1.465695342571922
192.0,12.957676962028742,2,1.9425987930472974e-10,1.462322483084867
193.0,12.95451292864278,2,1.937341500590388e-10,1.45897256562721
194.0,12.951351354410422,2,1.9321030701826423e-10,1.4556453978991168
195.0,12.948192223082323,2,1.9268833855144719e-10,1.452340788949653
196.0,12.945035525099943,2,1.9216823415447398e-10,1.449058549164816
