time_years,Ca,Si,Al,Mg,S,C
1638.917803034825,0.16199833137032185,4.490896313709558,0.201745666883514,0.00012189145182426457,7.601512044242086,0.21878840004580113
1646.3069810651734,0.16198146811379352,4.491825751931777,0.20178767822203358,0.00012187805716711065,7.605386462521992,0.21888939106805916
1653.770050875825,0.16196449295696663,4.492754615902313,0.20182981521082033,0.00012188522452074315,7.6092938954034475,0.21898896096150933
1661.3077513845833,0.16194758743561374,4.493688537910117,0.20187195369724123,0.00012188244476567363,7.613251317487997,0.21909047978924542
1668.9208288984291,0.16193024634961448,4.4946394537394925,0.20191501631155462,0.00012187883431673743,7.617247673627389,0.2191930244407459
1676.6100371874134,0.1619128400495029,4.495599821666961,0.2019584105926301,0.00012187575491990154,7.621286230388154,0.21929688408376163
1684.3761375592876,0.1618952500692651,4.4965690875017845,0.2020022435741783,0.00012187242505418432,7.625366995717813,0.21940173667713864
1692.2198989348806,0.16187763022392843,4.497545095902821,0.2020466639625342,0.00012186897966281995,7.6294907827697545,0.21950737079280233
1700.1420979242293,0.16185864510143527,4.498529898076473,0.20209085470399404,0.00012186509320215922,7.633655457256707,0.2196133893303237
1708.1435189034714,0.1616601960630986,4.51991108770768,0.1991976861730769,0.00012144256855892342,7.686297502678104,0.21994888718061717
1716.2249540925063,0.16132171063232975,4.558341090033012,0.19395824814474386,0.00012067277426960554,7.780085531151625,0.22046257993119558
1724.3872036334312,0.16099963016502158,4.596766748416155,0.18886246174104682,0.00011991055862857917,7.874616945979045,0.22096327714818387
1732.6310756697656,0.1606940951618243,4.635149873718312,0.18391033311357274,0.00011915570066434262,7.96981739494519,0.22145004513590877
1740.9573864264632,0.1604058234903275,4.673463766235998,0.17910130638829477,0.00011840946405082326,8.065642292431477,0.2219238966476877
1749.3669602907278,0.16013406820923992,4.711681667229934,0.1744349758341096,0.00011767235146884981,8.161980405854449,0.2223838749431028
1757.8606298936352,0.15987843111387343,4.749765703425542,0.16991061715743935,0.00011694448807385538,8.258710243536065,0.22282945176253496
1766.4392361925716,0.15964096734633268,4.787685806110141,0.1655275600547619,0.00011622801262261638,8.355853119994142,0.22326291052007327
