time_years,quartz,CSH,ettringite,thaumasite,monosulphate,monocarbonate,hydrotalcite,Kuzel_s,Friedel_s,straetlingite,calcite,MSH,gypsum,portlandite,zeolites,hydrogarnet,ferrihydrite,Al(OH)3(mic)
720.0,527.1864032221197,283.2813989149005,0.0,38.54099944335318,0.0,0.0,10.060523889210994,0.0,0.0,0.0,63.002215994066425,0.0,0.0,0.0,23.44377435927573,0.0,5.626186335124778,0.0
721.0,527.1163366591579,283.38437764516755,0.0,38.54079063074586,0.0,0.0,10.060523889055542,0.0,0.0,0.0,63.00223808719741,0.0,0.0,0.0,23.444104296455592,0.0,5.6261863357063815,0.0
722.0,527.046331247615,283.4872879520685,0.0,38.54058145526047,0.0,0.0,10.060523888899208,0.0,0.0,0.0,63.002260220507594,0.0,0.0,0.0,23.444432052255245,0.0,5.6261863362860325,0.0
723.0,526.9763869533564,283.59012952427406,0.0,38.54037194867282,0.0,0.0,10.060523888742015,0.0,0.0,0.0,63.00228239198476,0.0,0.0,0.0,23.444757552993963,0.0,5.626186336864693,0.0
724.0,526.9065037421826,283.6929022926251,0.0,38.540162094480856,0.0,0.0,10.060523888583953,0.0,0.0,0.0,63.002304602935354,0.0,0.0,0.0,23.445080852799364,0.0,5.626186337441918,0.0
725.0,526.8366815802455,283.7956061353262,0.0,38.53995189171189,0.0,0.0,10.060523888425013,0.0,0.0,0.0,63.002326853436614,0.0,0.0,0.0,23.445401975668872,0.0,5.626186338017646,0.0
726.0,526.7669204339246,283.89824084471445,0.0,38.5397413545891,0.0,0.0,10.060523888265203,0.0,0.0,0.0,63.002349142470784,0.0,0.0,0.0,23.44572089923018,0.0,5.626186338591766,0.0
727.0,526.6972202698145,284.0008064217919,0.0,38.539530480804736,0.0,0.0,10.060523888104509,0.0,0.0,0.0,63.00237146941043,0.0,0.0,0.0,23.446037701276342,0.0,5.6261863391643505,0.0
728.0,526.6275810546609,284.10330270518756,0.0,38.53931922563802,0.0,0.0,10.060523887942923,0.0,0.0,0.0,63.00239383928497,0.0,0.0,0.0,23.446352386629073,0.0,5.626186339735346,0.0
729.0,526.5580027555613,284.2057296094487,0.0,38.539107547930264,0.0,0.0,10.06052388778044,0.0,0.0,0.0,63.0024162564146,0.0,0.0,0.0,23.44666498491663,0.0,5.626186340304803,0.0
730.0,526.488485339865,284.3080870238475,0.0,38.53889547197708,0.0,0.0,10.060523887617052,0.0,0.0,0.0,63.002438718210826,0.0,0.0,0.0,23.446975527355328,0.0,5.6261863408727795,0.0
731.0,526.419028775124,284.4103747560219,0.0,38.5386831581308,0.0,0.0,10.060523887452769,0.0,0.0,0.0,63.00246120765162,0.0,0.0,0.0,23.447284033283072,0.0,5.626186341439372,0.0
732.0,526.349633028839,284.51259267434637,0.0,38.538470594324444,0.0,0.0,10.060523887287587,0.0,0.0,0.0,63.00248372600094,0.0,0.0,0.0,23.447590515893605,0.0,5.62618634200455,0.0
733.0,526.2802980687933,284.61474072969736,0.0,38.53825757041462,0.0,0.0,10.06052388712149,0.0,0.0,0.0,63.00250629579086,0.0,0.0,0.0,23.44789497820037,0.0,5.626186342568177,0.0
734.0,526.2110238633152,284.7168187684889,0.0,38.53804419591393,0.0,0.0,10.060523886954485,0.0,0.0,0.0,63.002528905266146,0.0,0.0,0.0,23.448197447954854,0.0,5.626186343130354,0.0
735.0,526.141810380797,284.8188266943229,0.0,38.53783043060054,0.0,0.0,10.060523886786566,0.0,0.0,0.0,63.00255155879471,0.0,0.0,0.0,23.448497941919403,0.0,5.626186343691033,0.0
736.0,526.0726575899071,284.92076434514104,0.0,38.537616389551516,0.0,0.0,10.060523886617734,0.0,0.0,0.0,63.00257424395412,0.0,0.0,0.0,23.448796486404568,0.0,5.626186344250348,0.0
737.0,526.0035654593732,285.0226316462822,0.0,38.53740197459726,0.0,0.0,10.060523886447971,0.0,0.0,0.0,63.002596971327705,0.0,0.0,0.0,23.449093093520545,0.0,5.6261863448082154,0.0
738.0,525.9345339583009,285.1244284972018,0.0,38.537187159062874,0.0,0.0,10.06052388627728,0.0,0.0,0.0,63.002619743808076,0.0,0.0,0.0,23.449387779772536,0.0,5.626186345364606,0.0
739.0,525.865563056069,285.2261547860435,0.0,38.53697194330874,0.0,0.0,10.060523886105656,0.0,0.0,0.0,63.002642561357725,0.0,0.0,0.0,23.449680563371803,0.0,5.626186345919529,0.0
740.0,525.7966527222959,285.32781036445556,0.0,38.53675642344412,0.0,0.0,10.060523885933108,0.0,0.0,0.0,63.002665413603644,0.0,0.0,0.0,23.449971468625478,0.0,5.6261863464731,0.0
741.0,525.7278029266662,285.4293951742212,0.0,38.536540477483186,0.0,0.0,10.06052388575961,0.0,0.0,0.0,63.00268831373199,0.0,0.0,0.0,23.45026050500923,0.0,5.62618634702518,0.0
742.0,525.6590136393024,285.53090905227333,0.0,38.53632423645354,0.0,0.0,10.060523885585177,0.0,0.0,0.0,63.00271124757678,0.0,0.0,0.0,23.4505476988438,0.0,5.626186347575945,0.0
743.0,525.5902848303418,285.6323519590491,0.0,38.53610754783849,0.0,0.0,10.060523885409793,0.0,0.0,0.0,63.00273423164756,0.0,0.0,0.0,23.450833056965823,0.0,5.6261863481251915,0.0
744.0,525.5216164703961,285.7337237191472,0.0,38.535890566376814,0.0,0.0,10.060523885233463,0.0,0.0,0.0,63.00275724918987,0.0,0.0,0.0,23.45111660715262,0.0,5.626186348673153,0.0
745.0,525.4530085300801,285.8350242934236,0.0,38.53567314789492,0.0,0.0,10.06052388505617,0.0,0.0,0.0,63.00278031582333,0.0,0.0,0.0,23.45139835640922,0.0,5.626186349219626,0.0
